data_type,threshold,class,green_count_start_at,min_green_count,mean_green_count,max_green_count,avg_trial_length
SIM,0.7,approach,0.6666666666666666,6,7.4210526315789478,8,38.0
SIM,0.7,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.7,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.7,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.7,rotation,0.6666666666666666,0,11.921052631578947,15,46.0
SIM,0.7,success,0.6666666666666666,23,32.421052631578945,36,101.36842105263158
SIM,0.75,approach,0.6666666666666666,2,2.0526315789473686,3,38.0
SIM,0.75,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.75,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.75,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.75,rotation,0.6666666666666666,0,10.894736842105264,15,46.0
SIM,0.75,success,0.6666666666666666,22,31.684210526315791,36,101.36842105263158
SIM,0.8,approach,0.6666666666666666,1,1.0,1,38.0
SIM,0.8,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.8,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.8,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.8,rotation,0.6666666666666666,0,9.5789473684210531,15,46.0
SIM,0.8,success,0.6666666666666666,18,30.05263157894737,36,101.36842105263158
SIM,0.8500000000000001,approach,0.6666666666666666,1,1.0,1,38.0
SIM,0.8500000000000001,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.8500000000000001,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.8500000000000001,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.8500000000000001,rotation,0.6666666666666666,0,8.0,15,46.0
SIM,0.8500000000000001,success,0.6666666666666666,11,26.157894736842106,35,101.36842105263158
SIM,0.9000000000000001,approach,0.6666666666666666,0,0.0,0,38.0
SIM,0.9000000000000001,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.9000000000000001,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.9000000000000001,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.9000000000000001,rotation,0.6666666666666666,0,5.8157894736842106,15,46.0
SIM,0.9000000000000001,success,0.6666666666666666,3,20.921052631578949,31,101.36842105263158
SIM,0.9500000000000002,approach,0.6666666666666666,0,0.0,0,38.0
SIM,0.9500000000000002,failure,0.6666666666666666,10,12.615384615384615,18,40.012820512820511
SIM,0.9500000000000002,insertion,0.6666666666666666,0,0.0,0,10.657894736842104
SIM,0.9500000000000002,mating,0.6666666666666666,0,0.0,0,8.2105263157894743
SIM,0.9500000000000002,rotation,0.6666666666666666,0,2.0526315789473686,13,46.0
SIM,0.9500000000000002,success,0.6666666666666666,1,10.368421052631579,21,101.36842105263158
