kernel,C,min,mean,max
linear,1e-05,0.7222222222222222,0.8,0.8888888888888888
linear,0.0001,0.925,0.9683333333333334,1.0
linear,0.001,0.925,0.9683333333333334,1.0
linear,0.01,0.925,0.9683333333333334,1.0
linear,0.1,0.925,0.9683333333333334,1.0
linear,1.0,0.925,0.9683333333333334,1.0
linear,10.0,0.925,0.9683333333333334,1.0
linear,100.0,0.925,0.9683333333333334,1.0
linear,1000.0,0.925,0.9683333333333334,1.0
linear,10000.0,0.925,0.9683333333333334,1.0
poly,1e-05,0.75,0.7711111111111111,0.8055555555555556
poly,0.0001,0.7777777777777778,0.8372222222222222,0.9166666666666666
poly,0.001,0.925,0.9683333333333334,1.0
poly,0.01,0.925,0.9738888888888889,1.0
poly,0.1,0.925,0.9738888888888889,1.0
poly,1.0,0.925,0.9738888888888889,1.0
poly,10.0,0.925,0.9738888888888889,1.0
poly,100.0,0.925,0.9738888888888889,1.0
poly,1000.0,0.925,0.9738888888888889,1.0
poly,10000.0,0.925,0.9738888888888889,1.0
rbf,1e-05,0.6388888888888888,0.7388888888888888,0.8611111111111112
rbf,0.0001,0.6388888888888888,0.7388888888888888,0.8611111111111112
rbf,0.001,0.6388888888888888,0.7388888888888888,0.8611111111111112
rbf,0.01,0.6388888888888888,0.7388888888888888,0.8611111111111112
rbf,0.1,0.6388888888888888,0.7388888888888888,0.8611111111111112
rbf,1.0,0.8888888888888888,0.9344444444444443,0.9722222222222222
rbf,10.0,0.9166666666666666,0.9455555555555554,0.9722222222222222
rbf,100.0,0.9166666666666666,0.9455555555555554,0.9722222222222222
rbf,1000.0,0.9166666666666666,0.9455555555555554,0.9722222222222222
rbf,10000.0,0.9166666666666666,0.9455555555555554,0.9722222222222222
