kernel,C,min,mean,max
linear,1e-05,0.8333333333333334,0.9416666666666668,1.0
linear,0.0001,0.8333333333333334,0.9666666666666668,1.0
linear,0.001,0.8333333333333334,0.9666666666666668,1.0
linear,0.01,0.8333333333333334,0.9666666666666668,1.0
linear,0.1,0.8333333333333334,0.9666666666666668,1.0
linear,1.0,0.8333333333333334,0.9666666666666668,1.0
linear,10.0,0.8333333333333334,0.9666666666666668,1.0
linear,100.0,0.8333333333333334,0.9666666666666668,1.0
linear,1000.0,0.8333333333333334,0.9666666666666668,1.0
linear,10000.0,0.8333333333333334,0.9666666666666668,1.0
poly,1e-05,0.8333333333333334,0.9083333333333334,1.0
poly,0.0001,0.8333333333333334,0.9083333333333334,1.0
poly,0.001,0.8333333333333334,0.9666666666666668,1.0
poly,0.01,0.8333333333333334,0.9666666666666668,1.0
poly,0.1,0.8333333333333334,0.9666666666666668,1.0
poly,1.0,0.8333333333333334,0.9666666666666668,1.0
poly,10.0,0.8333333333333334,0.9666666666666668,1.0
poly,100.0,0.8333333333333334,0.9666666666666668,1.0
poly,1000.0,0.8333333333333334,0.9666666666666668,1.0
poly,10000.0,0.8333333333333334,0.9666666666666668,1.0
rbf,1e-05,0.6666666666666666,0.875,1.0
rbf,0.0001,0.6666666666666666,0.875,1.0
rbf,0.001,0.6666666666666666,0.875,1.0
rbf,0.01,0.6666666666666666,0.875,1.0
rbf,0.1,0.6666666666666666,0.875,1.0
rbf,1.0,0.6666666666666666,0.8416666666666668,1.0
rbf,10.0,0.6666666666666666,0.8416666666666668,1.0
rbf,100.0,0.6666666666666666,0.8416666666666668,1.0
rbf,1000.0,0.6666666666666666,0.8416666666666668,1.0
rbf,10000.0,0.6666666666666666,0.8416666666666668,1.0
