data_type,threshold,class,green_count_start_at,min_green_count,mean_green_count,max_green_count
REAL,0.7,approach,0.6666666666666666,3,3.4565217391304346,4
REAL,0.7,failure,0.6666666666666666,0,2.4285714285714284,5
REAL,0.7,insertion,0.6666666666666666,0,1.1086956521739131,4
REAL,0.7,mating,0.6666666666666666,0,7.8260869565217392,21
REAL,0.7,rotation,0.6666666666666666,0,0.56521739130434778,2
REAL,0.7,success,0.6666666666666666,0,5.0652173913043477,22
REAL,0.75,approach,0.6666666666666666,2,3.4347826086956523,4
REAL,0.75,failure,0.6666666666666666,0,2.2857142857142856,5
REAL,0.75,insertion,0.6666666666666666,0,0.97826086956521741,4
REAL,0.75,mating,0.6666666666666666,0,5.3478260869565215,21
REAL,0.75,rotation,0.6666666666666666,0,0.45652173913043476,1
REAL,0.75,success,0.6666666666666666,0,4.1086956521739131,22
REAL,0.8,approach,0.6666666666666666,1,3.2608695652173911,4
REAL,0.8,failure,0.6666666666666666,0,1.7857142857142858,4
REAL,0.8,insertion,0.6666666666666666,0,0.89130434782608692,4
REAL,0.8,mating,0.6666666666666666,0,3.8695652173913042,11
REAL,0.8,rotation,0.6666666666666666,0,0.45652173913043476,1
REAL,0.8,success,0.6666666666666666,0,3.6956521739130435,22
REAL,0.8500000000000001,approach,0.6666666666666666,0,2.9565217391304346,4
REAL,0.8500000000000001,failure,0.6666666666666666,0,1.5,3
REAL,0.8500000000000001,insertion,0.6666666666666666,0,0.73913043478260865,4
REAL,0.8500000000000001,mating,0.6666666666666666,0,3.0,11
REAL,0.8500000000000001,rotation,0.6666666666666666,0,0.45652173913043476,1
REAL,0.8500000000000001,success,0.6666666666666666,0,3.1739130434782608,20
REAL,0.9000000000000001,approach,0.6666666666666666,0,2.2826086956521738,4
REAL,0.9000000000000001,failure,0.6666666666666666,0,1.1428571428571428,2
REAL,0.9000000000000001,insertion,0.6666666666666666,0,0.58695652173913049,3
REAL,0.9000000000000001,mating,0.6666666666666666,0,2.652173913043478,11
REAL,0.9000000000000001,rotation,0.6666666666666666,0,0.45652173913043476,1
REAL,0.9000000000000001,success,0.6666666666666666,0,2.2608695652173911,12
REAL,0.9500000000000002,approach,0.6666666666666666,0,0.73913043478260865,2
REAL,0.9500000000000002,failure,0.6666666666666666,0,0.6428571428571429,2
REAL,0.9500000000000002,insertion,0.6666666666666666,0,0.5,3
REAL,0.9500000000000002,mating,0.6666666666666666,0,1.8913043478260869,6
REAL,0.9500000000000002,rotation,0.6666666666666666,0,0.41304347826086957,1
REAL,0.9500000000000002,success,0.6666666666666666,0,1.3695652173913044,6
