C\kernel,linear,poly,rbf
1e-05,0.9416666666666668,0.9083333333333334,0.875
0.0001,0.9666666666666668,0.9083333333333334,0.875
0.001,0.9666666666666668,0.9666666666666668,0.875
0.01,0.9666666666666668,0.9666666666666668,0.875
0.1,0.9666666666666668,0.9666666666666668,0.875
1.0,0.9666666666666668,0.9666666666666668,0.8416666666666668
10.0,0.9666666666666668,0.9666666666666668,0.8416666666666668
100.0,0.9666666666666668,0.9666666666666668,0.8416666666666668
1000.0,0.9666666666666668,0.9666666666666668,0.8416666666666668
10000.0,0.9666666666666668,0.9666666666666668,0.8416666666666668
