C\kernel,linear,poly,rbf
1e-05,0.8,0.7711111111111111,0.7388888888888888
0.0001,0.9683333333333334,0.8372222222222222,0.7388888888888888
0.001,0.9683333333333334,0.9683333333333334,0.7388888888888888
0.01,0.9683333333333334,0.9738888888888889,0.7388888888888888
0.1,0.9683333333333334,0.9738888888888889,0.7388888888888888
1.0,0.9683333333333334,0.9738888888888889,0.9344444444444443
10.0,0.9683333333333334,0.9738888888888889,0.9455555555555554
100.0,0.9683333333333334,0.9738888888888889,0.9455555555555554
1000.0,0.9683333333333334,0.9738888888888889,0.9455555555555554
10000.0,0.9683333333333334,0.9738888888888889,0.9455555555555554
