C\kernel,linear,poly,rbf
1e-05,0.7767857142857143,0.8294642857142858,0.8196428571428571
0.0001,0.8473214285714284,0.8294642857142858,0.8196428571428571
0.001,0.8607142857142858,0.89375,0.8196428571428571
0.01,0.8607142857142858,0.89375,0.8196428571428571
0.1,0.8607142857142858,0.89375,0.8196428571428571
1.0,0.8607142857142858,0.89375,0.8678571428571429
10.0,0.8607142857142858,0.89375,0.8803571428571428
100.0,0.8607142857142858,0.89375,0.8803571428571428
1000.0,0.8607142857142858,0.89375,0.8803571428571428
10000.0,0.8607142857142858,0.89375,0.8803571428571428
