C\kernel,linear,poly,rbf
1e-05,1.0,0.8696428571428572,0.6428571428571428
0.0001,1.0,1.0,0.6428571428571428
0.001,1.0,1.0,0.6428571428571428
0.01,1.0,1.0,0.6428571428571428
0.1,1.0,1.0,0.6428571428571428
1.0,1.0,1.0,0.9589285714285714
10.0,1.0,1.0,0.9589285714285714
100.0,1.0,1.0,0.9589285714285714
1000.0,1.0,1.0,0.9589285714285714
10000.0,1.0,1.0,0.9589285714285714
