data_type,threshold,class,green_count_start_at,min_green_count,mean_green_count,max_green_count,avg_trial_length
SIM,0.7,approach,0.6666666666666666,2,2.0,2,8.0
SIM,0.7,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.7,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.7,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.7,rotation,0.6666666666666666,0,2.6578947368421053,3,10.0
SIM,0.7,success,0.6666666666666666,6,6.1052631578947372,7,20.657894736842106
SIM,0.75,approach,0.6666666666666666,1,1.0526315789473684,2,8.0
SIM,0.75,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.75,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.75,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.75,rotation,0.6666666666666666,0,2.4210526315789473,3,10.0
SIM,0.75,success,0.6666666666666666,6,6.1052631578947372,7,20.657894736842106
SIM,0.8,approach,0.6666666666666666,1,1.0,1,8.0
SIM,0.8,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.8,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.8,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.8,rotation,0.6666666666666666,0,2.263157894736842,3,10.0
SIM,0.8,success,0.6666666666666666,5,6.0,7,20.657894736842106
SIM,0.8500000000000001,approach,0.6666666666666666,1,1.0,1,8.0
SIM,0.8500000000000001,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.8500000000000001,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.8500000000000001,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.8500000000000001,rotation,0.6666666666666666,0,1.9736842105263157,3,10.0
SIM,0.8500000000000001,success,0.6666666666666666,4,5.6052631578947372,7,20.657894736842106
SIM,0.9000000000000001,approach,0.6666666666666666,0,0.0,0,8.0
SIM,0.9000000000000001,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.9000000000000001,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.9000000000000001,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.9000000000000001,rotation,0.6666666666666666,0,1.6052631578947369,3,10.0
SIM,0.9000000000000001,success,0.6666666666666666,2,4.9736842105263159,7,20.657894736842106
SIM,0.9500000000000002,approach,0.6666666666666666,0,0.0,0,8.0
SIM,0.9500000000000002,failure,0.6666666666666666,2,2.0759493670886076,3,8.2911392405063289
SIM,0.9500000000000002,insertion,0.6666666666666666,0,0.0,0,2.3421052631578947
SIM,0.9500000000000002,mating,0.6666666666666666,0,0.0,0,1.9736842105263157
SIM,0.9500000000000002,rotation,0.6666666666666666,0,1.0263157894736843,3,10.0
SIM,0.9500000000000002,success,0.6666666666666666,1,2.763157894736842,5,20.657894736842106
